10289	27
10290	33
10291	24
10292	18
10293	15
10294	12
10295	12
10296	9
10297	9
10298	9
10299	6
10300	6
10301	6
10302	6
10303	6
10304	3
10305	6
10306	3
10307	3
10308	3
10309	3
10310	3
10311	3
10312	1.5
10313	1.5
10314	3
10315	1.5
10316	1.5
10317	3
10318	1.5
10319	1.5
10320	3
10321	3
10322	3
10323	1.5
10324	1.5
10325	3
10326	1.5
10327	1.5
10328	3
10329	1.5
10330	1.5
10331	3
10332	1.5
10333	1.5
10334	1.5
10335	1.5
10336	1.5
10337	1.5
10338	1.5
10339	1.5
10340	0.9
10341	0.9
10342	0.9
10343	0.9
10344	0.9
10345	0.9
10346	0.75
10347	0.75
10348	0.75
10349	0.75
10350	0.75
10351	0.75
10352	0.75
10353	0.75
10354	0.42
10355	0.42
10356	0.42
10357	0.42
10358	0.42
10359	0.42
10360	0.42
10361	0.6
10362	0.6
10363	0.6
10364	0.6
10365	0.6
10366	0.6
10367	0.6
10368	0.6
10369	0.6
10370	0.6
10371	0.6
10372	1.5
10373	1.5
10374	1.5
10375	1.5
10376	1.5
10377	1.5
10378	3
10379	3
10380	3
10381	3
10382	1.5
10383	1.5
10384	3
10385	3
10386	1.5
10387	1.5
10388	3
10389	1.5
10390	1.5
10391	1.5
10392	1.5
10393	1.5
10394	1.5
10395	1.5
10396	1.5
10397	1.5
10398	0.9
10399	0.9
10400	0.9
10401	0.9
10402	0.9
10403	0.9
10404	0.9
10405	0.9
10406	0.9
10407	0.9
10408	0.9
10409	0.9
10410	0.9
10411	0.9
10412	0.9
10413	1.5
10414	1.5
10415	3
10416	3
10417	3
10418	6
10419	12
10420	18
10421	21
10422	18
10423	15
10424	15
10425	12
10426	9
10427	9
10428	9
10429	9
10430	6
10431	9
10432	9
10433	12
10434	9
10435	9
10436	6
10437	6
10438	9
10439	6
10440	6
10441	6
10442	6
10443	3
10444	6
10445	3
10446	6
10447	3
10448	3
10449	3
10450	3
10451	3
10452	3
10453	3
10454	3
10455	3
10456	3
10457	3
10458	1.5
10459	1.5
10460	2.4
10461	2.4
10462	2.4
10463	2.4
10464	1.5
10465	1.5
10466	1.5
10467	1.5
10468	1.5
10469	1.5
10470	1.5
10471	1.5
10472	0.9
10473	0.9
10474	0.9
10475	0.9
10476	0.9
10477	0.9
10478	0.75
10479	0.75
10480	0.75
10481	0.75
10482	0.75
10483	0.75
10484	0.75
10485	0.75
10486	0.6
10487	0.6
10488	0.6
10489	0.6
10490	0.6
10491	0.48
10492	0.48
10493	0.48
10494	0.48
10495	0.48
10496	0.48
10497	0.3
10498	0.3
10499	0.3
10500	0.3
10501	0.3
10502	0.3
10503	0.3
10504	0.3
10505	0.3
10506	0.3
10507	0.27
10508	0.27
10509	0.27
10510	0.27
10511	0.27
10512	0.27
10513	0.27
10514	0.27
10515	0.27
10516	0.27
10517	0.27
10518	0.1875
10519	0.1875
10520	0.1875
10521	0.1875
10522	0.1875
10523	0.1875
10524	0.1875
10525	0.1875
10526	0.1875
10527	0.1875
10528	0.1875
10529	0.1875
10530	0.1875
10531	0.1875
10532	0.1875
10533	0.1875
10534	0.4284
10535	0.4284
10536	0.4284
10537	0.4284
10538	0.4284
10539	0.4284
10540	0.4284
10541	0.6
10542	0.6
10543	0.6
10544	0.6
10545	0.6
10546	1.0002
10547	1.0002
10548	1.0002
10549	1.0002
10550	1.0002
10551	1.0002
10552	1.5
10553	3
10554	3
10555	3
10556	3
10557	3
10558	3
10559	3
10560	3
10561	3
10562	3
10563	3
10564	3
10565	3
10566	3
10567	2.4
10568	2.4
10569	2.4
10570	2.4
10571	2.4
10572	2.4
10573	2.4
10574	1.5
10575	1.5
10576	2.1
10577	2.1
10578	1.5
10579	1.5
10580	1.5
10581	1.5
10582	1.5
10583	1.5
10584	1.5
10585	1.5
10586	1.2
10587	1.2
10588	1.2
10589	1.2
10590	1.2
10591	1.2
10592	1.2
10593	1.2
10594	1.2
10595	1.2
10596	1.2
10597	1.2
10598	0.75
10599	0.75
10600	0.75
10601	0.75
10602	0.75
10603	0.75
10604	0.75
10605	0.75
10606	0.498
10607	0.498
10608	0.498
10609	0.498
10610	0.498
10611	0.498
10612	0.6
10613	0.6
10614	0.6
10615	0.6
10616	0.6
10617	0.3
10618	0.3
10619	0.3
10620	0.3
10621	0.3
10622	0.3
10623	0.3
10624	0.3
10625	0.3
10626	0.3
10627	0.27
10628	0.27
10629	0.27
10630	0.27
10631	0.27
10632	0.27
10633	0.27
10634	0.27
10635	0.27
10636	0.27
10637	0.27
10638	0.12
10639	0.12
10640	0.12
10641	0.12
10642	0.12
10643	0.12
10644	0.12
10645	0.12
10646	0.12
10647	0.12
10648	0.12
10649	0.12
10650	0.12
10651	0.12
10652	0.12
10653	0.12
10654	0.12
10655	0.12
10656	0.12
10657	0.12
10658	0.12
10659	0.12
10660	0.12
10661	0.12
10662	0.12
11311	9
11312	27
11313	36
11314	39
11315	48
11316	51
11317	54
11318	57
11319	51
11320	45
11321	42
11322	36
11323	33
11324	30
11325	27
11326	27
11327	21
11328	21
11329	21
11330	21
11331	21
11332	18
11333	21
11334	18
11335	18
11336	18
11337	18
11338	15
11339	15
11340	15
11341	15
11342	12
11343	12
11344	15
11345	12
11346	12
11347	15
11348	18
11349	18
11350	18
11351	15
11352	15
11353	15
11354	12
11355	12
11356	9
11357	9
11358	6
11359	6
11360	6
11361	6
11362	6
11363	4.5
11364	4.5
11365	4.5
11366	4.5
11367	4.5
11368	3
11369	3
11370	3
11371	3
11372	3
11373	3
11374	3
11375	3
11376	3
