"filename", "language", "Python", "comment", "blank", "total"
"e:\博士阶段\BaiduSyncdisk\code_repository\sponge_city\project\src\utils\ui_class\main.py", "Python", 71, 24, 14, 109
"Total", "-", 71, 24, 14, 109
